HoY,AL_Huntsville_com_gen.csv,AL_Huntsville_res_gen.csv,MI_Detroit_com_gen.csv,MI_Detroit_res_gen.csv,OH_Youngtown_com_gen.csv,OH_Youngtown_res_gen.csv,TX_ElPaso_com_gen.csv,TX_ElPaso_res_gen.csv
1,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
2,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
3,0.454155,-0.00116655,0.454155,-0.00116655,0.454155,-0.00116655,0.454155,-0.00116655
4,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
5,3.71425,-0.00116655,3.71425,-0.00116655,3.71425,-0.00116655,3.71425,-0.00116655
6,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
7,1.82712,-0.00116655,1.82712,-0.00116655,1.82712,-0.00116655,1.82712,-0.00116655
8,28.4408,0.259932,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
9,103.389,1.06851,3.98602,0.0268275,90.6168,0.945562,36.6109,0.336944
10,175.1,1.71611,32.3647,0.295992,209.776,0.980107,160.203,0.980107
11,64.6104,0.605609,120.18,0.974842,294.961,0.974842,268.289,0.974842
12,58.4421,0.547296,142.613,0.938832,339.785,1.20399,345.686,0.938832
13,164.16,1.55271,233.437,0.89839,349.33,3.31324,382.009,3.26912
14,106.815,1.00728,220.745,0.857997,328.575,3.12929,386.103,3.63253
15,34.1689,0.315762,195.048,0.84954,279.718,2.67473,358.127,3.37282
16,29.0272,0.266555,117.277,1.09541,128.194,1.21726,296.518,2.79788
17,4.21326,0.0289598,36.8439,1.1502,76.964,1.14997,203.283,1.92035
18,-0.126963,-0.00116655,-0.126963,1.60031,-0.126963,1.60052,82.5264,1.60216
19,-0.126963,-0.00116655,-0.126963,1.85302,-0.126963,1.85306,-0.126963,1.85315
20,-0.126963,-0.00116655,-0.126963,1.81572,-0.126963,1.81577,-0.126963,1.81604
21,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
22,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
23,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
24,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
25,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
26,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
27,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
28,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
29,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
30,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
31,9.12143,-0.00116655,4.13597,-0.00116655,9.12143,-0.00116655,9.12143,-0.00116655
32,11.2729,0.0967727,-0.126963,-0.00116655,-0.126963,-0.00116655,-0.126963,-0.00116655
33,39.5604,0.366549,-0.126963,-0.00116655,101.244,0.952986,36.181,0.33307
34,15.0395,0.133032,3.8503,0.0254768,201.89,0.914602,106.79,0.914602
35,59.9353,0.56134,35.291,0.911038,291.98,0.909658,264.47,0.909658
36,68.4652,0.642859,13.7876,0.373934,336.481,0.891823,288.917,0.891823
37,65.309,0.613211,6.53043,0.0512636,348.556,2.17386,383.061,2.11842
38,39.7914,0.370289,3.80709,0.0250329,327.091,3.13484,332.329,3.12845
39,34.9368,0.323936,3.05845,0.0177832,286.099,2.73914,261.625,2.46748
40,118.134,1.11624,29.8004,0.273209,219.135,2.08728,185.651,1.7522
