HoY,Com_load.csv,Res_load.csv
1,65.6374,0.772599
2,62.5244,0.680559
3,75.1593,0.647978
4,66.7696,0.639773
5,78.4194,0.647299
6,69.7381,0.701176
7,79.1304,0.898463
8,50.4748,1.18119
9,50.3969,1.12899
10,37.7489,0.980107
11,37.1335,0.974842
12,28.3751,0.938832
13,27.4458,0.89839
14,23.7839,0.857997
15,21.3821,0.84954
16,20.961,0.910038
17,26.3378,1.14956
18,42.4988,1.60124
19,44.2319,1.85407
20,50.8582,1.8163
21,50.5752,1.70023
22,57.2174,1.57341
23,54.77,1.30665
24,62.5655,1.04025
25,62.5466,0.766092
26,69.0273,0.668008
27,64.4617,0.638176
28,71.8981,0.631643
29,68.3173,0.630719
30,74.5008,0.680559
31,234.676,0.868189
32,217.896,1.14577
33,230.172,1.07639
34,191.794,0.914602
35,172.779,0.909658
36,165.046,0.891823
37,163.967,0.861353
38,149.935,0.824849
39,141.272,0.8209
40,139.715,0.883623
41,147.919,1.11748
42,155.912,1.56096
43,130.833,1.81483
44,132.272,1.76977
45,128.764,1.64945
46,130.137,1.51581
47,41.6166,1.24953
48,38.9362,0.989607
49,38.9362,0.728895
50,38.9362,0.627736
51,38.9362,0.591047
52,38.9362,0.582502
53,38.9362,0.58515
54,41.6166,0.63975
55,163.928,0.82732
56,142.125,1.11033
57,168.956,1.05038
58,147.914,0.901878
59,139.89,0.916423
60,136.938,0.906216
61,140.046,0.877961
62,132.461,0.848578
63,127.632,0.844502
64,127.446,0.904255
65,136.442,1.13373
66,141.771,1.57649
67,114.75,1.82813
68,114.797,1.77641
69,108.864,1.65319
70,112.226,1.52026
71,41.6166,1.25115
72,38.9362,0.986633
73,38.9362,0.724535
74,38.9362,0.621831
75,38.9362,0.586269
76,38.9362,0.578634
77,38.9362,0.580296
78,41.6166,0.633488
79,142.076,0.82341
80,124.442,1.10683
81,158.465,1.04885
82,139.534,0.902712
83,130.405,0.911645
84,127.095,0.896458
85,126.792,0.852513
86,121.982,0.814475
87,117.195,0.811163
88,117.09,0.874906
89,126.775,1.10935
90,131.461,1.54609
91,102.11,1.80484
92,102.849,1.75524
93,94.7595,1.63312
94,97.4781,1.50165
95,41.6166,1.23477
96,38.9362,0.971207
97,38.9362,0.710398
98,38.9362,0.60885
99,38.9362,0.57237
100,38.9362,0.563399
101,38.9362,0.56498
102,41.6166,0.615861
103,120.517,0.807437
104,110.213,1.12391
105,150.037,1.04518
106,131.9,0.898234
107,122.468,0.884425
108,122.902,0.885062
109,124.274,0.860952
110,124.874,0.842
111,120.462,0.838166
112,119.828,0.896248
113,127.824,1.12815
114,134.513,1.57459
115,105.677,1.82699
116,104.267,1.7697
117,94.6319,1.64328
118,95.9547,1.50973
119,41.6166,1.24017
120,38.9362,0.976862
121,38.9362,0.716173
122,38.9362,0.609864
123,38.9362,0.575339
124,38.9362,0.571726
125,38.9362,0.577625
126,41.6166,0.632291
127,126.096,0.858222
128,107.02,1.11282
129,140.049,1.02737
130,124.387,0.865873
131,120.537,0.865696
132,122.295,0.849786
133,122.559,0.814788
134,119.695,0.792036
135,115.207,0.792231
136,114.45,0.854486
137,121.73,1.08368
138,125.166,1.52471
139,95.4737,1.78726
140,98.0856,1.74643
141,89.4985,1.62943
142,91.2355,1.49958
143,41.6166,1.23988
144,38.9362,0.980019
145,33.5754,0.735247
146,33.5754,0.631782
147,33.5754,0.59495
148,33.5754,0.589582
149,33.5754,0.592248
150,33.5754,0.645422
151,126.974,0.872606
152,100.036,1.14116
153,99.832,1.0767
154,90.0105,0.920808
155,85.6978,0.917034
156,85.3829,0.893714
157,82.6116,0.862599
158,75.2912,0.835624
159,50.1919,0.831357
160,50.7114,0.891545
161,57.5579,1.11959
162,74.0381,1.55727
163,33.5754,1.81264
164,33.5754,1.77527
165,33.5754,1.66101
166,33.5754,1.53567
167,33.5754,1.26699
168,33.5754,0.992336
169,33.5754,0.724309
170,33.5754,0.620768
171,33.5754,0.58701
172,33.5754,0.582353
173,33.5754,0.578531
174,33.5754,0.630525
175,33.5754,0.848014
176,18.7714,1.10948
177,18.7714,1.03632
178,18.7714,0.889157
179,18.7714,0.896158
180,18.7714,0.889651
181,18.7714,0.862599
182,18.7714,0.835624
183,18.7714,0.831357
184,18.7714,0.891545
185,23.706,1.11959
186,33.5754,1.55632
187,33.5754,1.81284
188,33.5754,1.76803
189,33.5754,1.64682
190,33.5754,1.51734
191,33.5754,1.24954
192,33.5754,0.976259
193,38.9362,0.706559
194,38.9362,0.60964
195,38.9362,0.574446
196,38.9362,0.571472
197,38.9362,0.576227
198,41.6166,0.630509
199,157.675,0.820594
200,130.223,1.1361
201,152.852,1.03045
202,132.786,0.861674
203,126.285,0.851247
204,125.564,0.834059
205,129.219,0.814788
206,125.691,0.792036
207,121.073,0.792231
208,120.048,0.854486
209,124.656,1.08368
210,126.2,1.50408
211,96.4566,1.77748
212,98.3456,1.72857
213,91.5109,1.60811
214,95.96,1.48289
215,41.6166,1.22334
216,38.9362,0.965264
217,38.9362,0.713452
218,38.9362,0.618988
219,38.9362,0.587241
220,38.9362,0.581283
221,38.9362,0.589528
222,41.6166,0.639567
223,134.52,0.86203
224,115.363,1.11296
225,149.152,1.03957
226,129.205,0.877771
227,121.57,0.876423
228,121.96,0.85652
229,125.404,0.814788
230,124.593,0.792036
231,120.611,0.792231
232,119.448,0.854486
233,124.295,1.08368
234,123.945,1.50805
235,92.6343,1.77748
236,94.9597,1.72857
237,87.2084,1.60601
238,89.9637,1.47825
239,41.6166,1.21847
240,38.9362,0.957833
241,38.9362,0.698156
242,38.9362,0.598348
243,38.9362,0.562188
244,38.9362,0.552915
245,38.9362,0.553626
246,41.6166,0.603124
247,106.737,0.813378
248,94.7459,1.07273
249,132.714,0.993027
250,123.344,0.833239
251,123.674,0.819406
252,126.724,0.829634
253,127.939,0.814788
254,127.712,0.792036
255,121.745,0.792231
256,118.511,0.854486
257,122.133,1.08368
258,122.241,1.51256
259,90.8912,1.77748
260,92.1783,1.7297
261,84.1639,1.61274
262,86.7476,1.48348
263,41.6166,1.22436
264,38.9362,0.966697
265,38.9362,0.713092
266,38.9362,0.61724
267,38.9362,0.584292
268,38.9362,0.582959
269,38.9362,0.584697
270,41.6166,0.641616
271,118.927,0.871193
272,105.466,1.1217
273,139.501,1.03328
274,122.954,0.868122
275,118.424,0.859831
276,119.174,0.845432
277,119.868,0.814788
278,118.334,0.792036
279,114.487,0.792231
280,113.276,0.854486
281,118.782,1.08368
282,124.638,1.52643
283,94.6371,1.78567
284,97.2347,1.74409
285,88.9331,1.62665
286,91.8463,1.50381
287,41.6166,1.24846
288,38.9362,0.993433
