HoY,date,day_of_week,day_of_year,weekend,month_of_year,season
1,2021-01-01 00:00:00,Friday,1,False,January,winter
2,2021-01-01 01:00:00,Friday,1,False,January,winter
3,2021-01-01 02:00:00,Friday,1,False,January,winter
4,2021-01-01 03:00:00,Friday,1,False,January,winter
5,2021-01-01 04:00:00,Friday,1,False,January,winter
6,2021-01-01 05:00:00,Friday,1,False,January,winter
7,2021-01-01 06:00:00,Friday,1,False,January,winter
8,2021-01-01 07:00:00,Friday,1,False,January,winter
9,2021-01-01 08:00:00,Friday,1,False,January,winter
10,2021-01-01 09:00:00,Friday,1,False,January,winter
11,2021-01-01 10:00:00,Friday,1,False,January,winter
12,2021-01-01 11:00:00,Friday,1,False,January,winter
13,2021-01-01 12:00:00,Friday,1,False,January,winter
14,2021-01-01 13:00:00,Friday,1,False,January,winter
15,2021-01-01 14:00:00,Friday,1,False,January,winter
16,2021-01-01 15:00:00,Friday,1,False,January,winter
17,2021-01-01 16:00:00,Friday,1,False,January,winter
18,2021-01-01 17:00:00,Friday,1,False,January,winter
19,2021-01-01 18:00:00,Friday,1,False,January,winter
20,2021-01-01 19:00:00,Friday,1,False,January,winter
21,2021-01-01 20:00:00,Friday,1,False,January,winter
22,2021-01-01 21:00:00,Friday,1,False,January,winter
23,2021-01-01 22:00:00,Friday,1,False,January,winter
24,2021-01-01 23:00:00,Friday,1,False,January,winter
25,2021-01-02 00:00:00,Saturday,2,True,January,winter
26,2021-01-02 01:00:00,Saturday,2,True,January,winter
27,2021-01-02 02:00:00,Saturday,2,True,January,winter
28,2021-01-02 03:00:00,Saturday,2,True,January,winter
29,2021-01-02 04:00:00,Saturday,2,True,January,winter
30,2021-01-02 05:00:00,Saturday,2,True,January,winter
31,2021-01-02 06:00:00,Saturday,2,True,January,winter
32,2021-01-02 07:00:00,Saturday,2,True,January,winter
33,2021-01-02 08:00:00,Saturday,2,True,January,winter
34,2021-01-02 09:00:00,Saturday,2,True,January,winter
35,2021-01-02 10:00:00,Saturday,2,True,January,winter
36,2021-01-02 11:00:00,Saturday,2,True,January,winter
37,2021-01-02 12:00:00,Saturday,2,True,January,winter
38,2021-01-02 13:00:00,Saturday,2,True,January,winter
39,2021-01-02 14:00:00,Saturday,2,True,January,winter
40,2021-01-02 15:00:00,Saturday,2,True,January,winter
41,2021-01-02 16:00:00,Saturday,2,True,January,winter
42,2021-01-02 17:00:00,Saturday,2,True,January,winter
43,2021-01-02 18:00:00,Saturday,2,True,January,winter
44,2021-01-02 19:00:00,Saturday,2,True,January,winter
45,2021-01-02 20:00:00,Saturday,2,True,January,winter
46,2021-01-02 21:00:00,Saturday,2,True,January,winter
47,2021-01-02 22:00:00,Saturday,2,True,January,winter
48,2021-01-02 23:00:00,Saturday,2,True,January,winter
49,2021-01-03 00:00:00,Sunday,3,True,January,winter
50,2021-01-03 01:00:00,Sunday,3,True,January,winter
51,2021-01-03 02:00:00,Sunday,3,True,January,winter
52,2021-01-03 03:00:00,Sunday,3,True,January,winter
53,2021-01-03 04:00:00,Sunday,3,True,January,winter
54,2021-01-03 05:00:00,Sunday,3,True,January,winter
55,2021-01-03 06:00:00,Sunday,3,True,January,winter
56,2021-01-03 07:00:00,Sunday,3,True,January,winter
57,2021-01-03 08:00:00,Sunday,3,True,January,winter
58,2021-01-03 09:00:00,Sunday,3,True,January,winter
59,2021-01-03 10:00:00,Sunday,3,True,January,winter
60,2021-01-03 11:00:00,Sunday,3,True,January,winter
61,2021-01-03 12:00:00,Sunday,3,True,January,winter
62,2021-01-03 13:00:00,Sunday,3,True,January,winter
63,2021-01-03 14:00:00,Sunday,3,True,January,winter
64,2021-01-03 15:00:00,Sunday,3,True,January,winter
65,2021-01-03 16:00:00,Sunday,3,True,January,winter
66,2021-01-03 17:00:00,Sunday,3,True,January,winter
67,2021-01-03 18:00:00,Sunday,3,True,January,winter
68,2021-01-03 19:00:00,Sunday,3,True,January,winter
69,2021-01-03 20:00:00,Sunday,3,True,January,winter
70,2021-01-03 21:00:00,Sunday,3,True,January,winter
71,2021-01-03 22:00:00,Sunday,3,True,January,winter
72,2021-01-03 23:00:00,Sunday,3,True,January,winter
73,2021-01-04 00:00:00,Monday,4,False,January,winter
74,2021-01-04 01:00:00,Monday,4,False,January,winter
75,2021-01-04 02:00:00,Monday,4,False,January,winter
76,2021-01-04 03:00:00,Monday,4,False,January,winter
77,2021-01-04 04:00:00,Monday,4,False,January,winter
78,2021-01-04 05:00:00,Monday,4,False,January,winter
79,2021-01-04 06:00:00,Monday,4,False,January,winter
80,2021-01-04 07:00:00,Monday,4,False,January,winter
81,2021-01-04 08:00:00,Monday,4,False,January,winter
82,2021-01-04 09:00:00,Monday,4,False,January,winter
83,2021-01-04 10:00:00,Monday,4,False,January,winter
84,2021-01-04 11:00:00,Monday,4,False,January,winter
85,2021-01-04 12:00:00,Monday,4,False,January,winter
86,2021-01-04 13:00:00,Monday,4,False,January,winter
87,2021-01-04 14:00:00,Monday,4,False,January,winter
88,2021-01-04 15:00:00,Monday,4,False,January,winter
89,2021-01-04 16:00:00,Monday,4,False,January,winter
90,2021-01-04 17:00:00,Monday,4,False,January,winter
91,2021-01-04 18:00:00,Monday,4,False,January,winter
92,2021-01-04 19:00:00,Monday,4,False,January,winter
93,2021-01-04 20:00:00,Monday,4,False,January,winter
94,2021-01-04 21:00:00,Monday,4,False,January,winter
95,2021-01-04 22:00:00,Monday,4,False,January,winter
96,2021-01-04 23:00:00,Monday,4,False,January,winter
97,2021-01-05 00:00:00,Tuesday,5,False,January,winter
98,2021-01-05 01:00:00,Tuesday,5,False,January,winter
99,2021-01-05 02:00:00,Tuesday,5,False,January,winter
100,2021-01-05 03:00:00,Tuesday,5,False,January,winter
101,2021-01-05 04:00:00,Tuesday,5,False,January,winter
102,2021-01-05 05:00:00,Tuesday,5,False,January,winter
103,2021-01-05 06:00:00,Tuesday,5,False,January,winter
104,2021-01-05 07:00:00,Tuesday,5,False,January,winter
105,2021-01-05 08:00:00,Tuesday,5,False,January,winter
106,2021-01-05 09:00:00,Tuesday,5,False,January,winter
107,2021-01-05 10:00:00,Tuesday,5,False,January,winter
108,2021-01-05 11:00:00,Tuesday,5,False,January,winter
109,2021-01-05 12:00:00,Tuesday,5,False,January,winter
110,2021-01-05 13:00:00,Tuesday,5,False,January,winter
111,2021-01-05 14:00:00,Tuesday,5,False,January,winter
112,2021-01-05 15:00:00,Tuesday,5,False,January,winter
113,2021-01-05 16:00:00,Tuesday,5,False,January,winter
114,2021-01-05 17:00:00,Tuesday,5,False,January,winter
115,2021-01-05 18:00:00,Tuesday,5,False,January,winter
116,2021-01-05 19:00:00,Tuesday,5,False,January,winter
117,2021-01-05 20:00:00,Tuesday,5,False,January,winter
118,2021-01-05 21:00:00,Tuesday,5,False,January,winter
119,2021-01-05 22:00:00,Tuesday,5,False,January,winter
120,2021-01-05 23:00:00,Tuesday,5,False,January,winter
121,2021-01-06 00:00:00,Wednesday,6,False,January,winter
122,2021-01-06 01:00:00,Wednesday,6,False,January,winter
123,2021-01-06 02:00:00,Wednesday,6,False,January,winter
124,2021-01-06 03:00:00,Wednesday,6,False,January,winter
125,2021-01-06 04:00:00,Wednesday,6,False,January,winter
126,2021-01-06 05:00:00,Wednesday,6,False,January,winter
127,2021-01-06 06:00:00,Wednesday,6,False,January,winter
128,2021-01-06 07:00:00,Wednesday,6,False,January,winter
129,2021-01-06 08:00:00,Wednesday,6,False,January,winter
130,2021-01-06 09:00:00,Wednesday,6,False,January,winter
131,2021-01-06 10:00:00,Wednesday,6,False,January,winter
132,2021-01-06 11:00:00,Wednesday,6,False,January,winter
133,2021-01-06 12:00:00,Wednesday,6,False,January,winter
134,2021-01-06 13:00:00,Wednesday,6,False,January,winter
135,2021-01-06 14:00:00,Wednesday,6,False,January,winter
136,2021-01-06 15:00:00,Wednesday,6,False,January,winter
137,2021-01-06 16:00:00,Wednesday,6,False,January,winter
138,2021-01-06 17:00:00,Wednesday,6,False,January,winter
139,2021-01-06 18:00:00,Wednesday,6,False,January,winter
140,2021-01-06 19:00:00,Wednesday,6,False,January,winter
141,2021-01-06 20:00:00,Wednesday,6,False,January,winter
142,2021-01-06 21:00:00,Wednesday,6,False,January,winter
143,2021-01-06 22:00:00,Wednesday,6,False,January,winter
144,2021-01-06 23:00:00,Wednesday,6,False,January,winter
145,2021-01-07 00:00:00,Thursday,7,False,January,winter
146,2021-01-07 01:00:00,Thursday,7,False,January,winter
147,2021-01-07 02:00:00,Thursday,7,False,January,winter
148,2021-01-07 03:00:00,Thursday,7,False,January,winter
149,2021-01-07 04:00:00,Thursday,7,False,January,winter
150,2021-01-07 05:00:00,Thursday,7,False,January,winter
151,2021-01-07 06:00:00,Thursday,7,False,January,winter
152,2021-01-07 07:00:00,Thursday,7,False,January,winter
153,2021-01-07 08:00:00,Thursday,7,False,January,winter
154,2021-01-07 09:00:00,Thursday,7,False,January,winter
155,2021-01-07 10:00:00,Thursday,7,False,January,winter
156,2021-01-07 11:00:00,Thursday,7,False,January,winter
157,2021-01-07 12:00:00,Thursday,7,False,January,winter
158,2021-01-07 13:00:00,Thursday,7,False,January,winter
159,2021-01-07 14:00:00,Thursday,7,False,January,winter
160,2021-01-07 15:00:00,Thursday,7,False,January,winter
161,2021-01-07 16:00:00,Thursday,7,False,January,winter
162,2021-01-07 17:00:00,Thursday,7,False,January,winter
163,2021-01-07 18:00:00,Thursday,7,False,January,winter
164,2021-01-07 19:00:00,Thursday,7,False,January,winter
165,2021-01-07 20:00:00,Thursday,7,False,January,winter
166,2021-01-07 21:00:00,Thursday,7,False,January,winter
167,2021-01-07 22:00:00,Thursday,7,False,January,winter
168,2021-01-07 23:00:00,Thursday,7,False,January,winter
169,2021-01-08 00:00:00,Friday,8,False,January,winter
170,2021-01-08 01:00:00,Friday,8,False,January,winter
171,2021-01-08 02:00:00,Friday,8,False,January,winter
172,2021-01-08 03:00:00,Friday,8,False,January,winter
173,2021-01-08 04:00:00,Friday,8,False,January,winter
174,2021-01-08 05:00:00,Friday,8,False,January,winter
175,2021-01-08 06:00:00,Friday,8,False,January,winter
176,2021-01-08 07:00:00,Friday,8,False,January,winter
177,2021-01-08 08:00:00,Friday,8,False,January,winter
178,2021-01-08 09:00:00,Friday,8,False,January,winter
179,2021-01-08 10:00:00,Friday,8,False,January,winter
180,2021-01-08 11:00:00,Friday,8,False,January,winter
181,2021-01-08 12:00:00,Friday,8,False,January,winter
182,2021-01-08 13:00:00,Friday,8,False,January,winter
183,2021-01-08 14:00:00,Friday,8,False,January,winter
184,2021-01-08 15:00:00,Friday,8,False,January,winter
185,2021-01-08 16:00:00,Friday,8,False,January,winter
186,2021-01-08 17:00:00,Friday,8,False,January,winter
187,2021-01-08 18:00:00,Friday,8,False,January,winter
188,2021-01-08 19:00:00,Friday,8,False,January,winter
189,2021-01-08 20:00:00,Friday,8,False,January,winter
190,2021-01-08 21:00:00,Friday,8,False,January,winter
